id,logFC,p.adjust
FAM20C,2.149991759,5.45E-24
PACSIN2,1.507886976,5.45E-24
TMEM248,2.303132594,5.49E-24
TNFRSF17,1.469499241,5.54E-24
DIAPH1,1.354946,5.55E-24
KCTD1,1.619573206,5.55E-24
NLRC5,1.673862129,5.56E-24
LINC00927,2.392836882,5.57E-24
UBASH3B,1.388139965,5.63E-24
SLC5A12,1.468848188,5.63E-24
CXorf58,1.422791641,5.63E-24
C1RL-AS1,2.144454382,5.65E-24
TRIP4,2.706448441,5.65E-24
SLC6A19,1.536124571,5.66E-24
POLR3GL,2.062394988,5.68E-24
CDC14B,1.599429735,5.69E-24
SS18,1.720151165,5.69E-24
LINC02796,1.448745953,5.74E-24
LOC340090,1.481967741,5.76E-24
HRG,4.310113229,5.83E-24
LINC01169,1.427392359,5.89E-24
HEATR1,1.784847135,5.89E-24
CEP72,1.379735506,5.93E-24
LINC02381,1.753181335,5.95E-24
NMT1,2.172122882,5.97E-24
TMOD1,3.083213071,6.00E-24
S1PR2,1.576311135,6.01E-24
GNAI3,4.303201853,6.04E-24
ZMYND11,1.333681288,6.07E-24
ACAT1,1.697992571,6.13E-24
RSF1,1.531095712,6.13E-24
LINC01505,2.898992959,6.23E-24
LILRA5,1.497026824,6.23E-24
MYCBP2,1.370810729,6.29E-24
HEBP1,1.945111812,6.37E-24
KRIT1,2.073270212,6.40E-24
ATAD2B,1.702597035,6.40E-24
PEX2,3.479235347,6.40E-24
ALKBH3-AS1,1.238822241,6.49E-24
OCEL1,1.342042247,6.50E-24
C12orf76,1.900815894,6.50E-24
PIK3IP1,1.924573906,6.52E-24
RPP14,1.694782694,6.57E-24
SPEN,1.867758171,6.66E-24
WASHC4,2.558756682,6.70E-24
LOC100506207,1.262055382,6.73E-24
H4C8,1.625374453,6.74E-24
CLIC1,1.926116182,6.79E-24
SFI1,1.589424929,6.83E-24
NHSL1,4.645999471,6.86E-24
CFH,1.892610959,6.89E-24
CYP4F35P,1.485042559,6.89E-24
XPA,1.678400429,6.91E-24
LINC01808,1.600585135,6.94E-24
MAL,1.602591018,7.06E-24
PDF,2.107255182,7.06E-24
TBCB,2.560729347,7.08E-24
ENTPD3-AS1,1.315705818,7.10E-24
SLC12A9,1.804101035,7.15E-24
NDST4,2.038586676,7.17E-24
LOC105375527,1.784506641,7.21E-24
LHX5,1.355190824,7.22E-24
DHDDS,1.480390506,7.38E-24
REXO5,2.2587856,7.42E-24
DMPK,1.530602076,7.52E-24
SPEG,1.365086141,7.52E-24
LINC02870,1.681847782,7.53E-24
CHMP4C,1.836155759,7.56E-24
ZNF682,1.979948712,7.58E-24
TNFSF11,1.789472265,7.64E-24
BTN3A1,1.505132518,7.65E-24
SVEP1,2.016983382,7.65E-24
PHKA2,1.687950265,7.68E-24
HCG18,1.1998775,7.69E-24
SLC35G2,1.939992812,7.71E-24
ZBED3-AS1,1.497782453,7.74E-24
ERAP2,1.661927447,7.84E-24
CNTN4,1.320814447,7.85E-24
LINC01720,1.446438618,7.85E-24
USP25,1.463471318,7.87E-24
ZSCAN25,1.702794788,8.00E-24
HBEGF,1.901461318,8.04E-24
VN1R3,1.492527612,8.06E-24
TRGV5,1.533830629,8.11E-24
MUCL1,3.709566988,8.21E-24
LINC01410,1.1437166,8.25E-24
DR1,1.320097412,8.28E-24
MDM2,1.902024824,8.35E-24
LINC01254,1.151503553,8.39E-24
DNAJA4,2.191498612,8.50E-24
PCAT7,1.816934335,8.53E-24
DCLRE1C,1.024340129,8.55E-24
MRGPRX2,1.650905794,8.58E-24
GIN1,2.015595194,8.67E-24
OR7A5,1.921595435,8.79E-24
LINC00561,1.4497529,8.90E-24
AHSG,2.142381829,8.90E-24
NORAD,1.896944771,8.95E-24
PHF20L1,1.792339376,8.96E-24
TCERG1L,2.3303963,9.04E-24
NDNF,1.594791671,9.07E-24
FGD1,1.133530776,9.21E-24
PRIM2,1.324645212,9.23E-24
KIF3C,1.9861767,9.32E-24
PRPF6,1.523259988,9.34E-24
IGLV1-50,1.643964165,9.40E-24
LCN12,1.232349688,9.41E-24
ADAM23,1.378986665,9.42E-24
SNX29P2,1.528547418,9.49E-24
GPR155,1.879084206,9.53E-24
ZNF41,1.615173706,9.55E-24
SLC26A2,1.5073777,9.57E-24
TRMU,1.863716641,9.58E-24
LINC00851,1.441059412,9.62E-24
NLRP14,1.542439171,9.65E-24
CBY2,1.508830782,9.65E-24
ATG9B,1.748875553,9.67E-24
SDK1,2.5560262,9.68E-24
GEMIN5,1.886779571,9.68E-24
NADK2,2.380237729,9.93E-24
UPF2,1.620386788,9.94E-24
CYCS,1.748303765,9.97E-24
NUMA1,1.233803612,9.97E-24
CAV2,1.547822476,9.98E-24
PRY,2.273351906,9.99E-24
PLXNA3,2.524641288,1.00E-23
LOC101928389,1.611426282,1.00E-23
NPHP3-AS1,1.369686235,1.01E-23
C16orf87,1.753377912,1.01E-23
COPS6,3.576810912,1.02E-23
SWINGN,2.053382982,1.03E-23
CARD11-AS1,2.748303076,1.03E-23
TADA1,1.440420224,1.04E-23
PDCD1,1.866464835,1.04E-23
MUC17,1.9012204,1.04E-23
TLL2,1.659353147,1.05E-23
BTK,1.186760171,1.05E-23
CSGALNACT2,2.338913588,1.05E-23
DCLK1,1.698901029,1.06E-23
MMP24OS,3.527412565,1.06E-23
SCART1,2.923911429,1.06E-23
TC2N,1.650272376,1.07E-23
USPL1,1.604114588,1.07E-23
ABTB1,1.567933912,1.07E-23
LOC101929174,1.418926465,1.07E-23
ARHGAP11B,1.322364559,1.09E-23
CAPN5,1.760720371,1.09E-23
PANTR1,1.399158518,1.09E-23
PALM3,1.859038765,1.09E-23
RB1-DT,1.394892553,1.10E-23
DDX11,2.324057929,1.10E-23
SLC5A6,1.461670688,1.11E-23
DNASE2B,1.630432859,1.12E-23
VSTM2L,1.645214482,1.12E-23
LOC105372793,1.417736594,1.12E-23
DIPK1C,3.281560006,1.13E-23
LINC01487,1.249611918,1.13E-23
ATP6V1G3,1.9069328,1.14E-23
GABARAPL3,1.851411924,1.14E-23
C6orf118,1.5336262,1.15E-23
IREB2,1.130410494,1.16E-23
BMP2K,1.805869759,1.16E-23
GP6,1.742624524,1.16E-23
LINC01087,1.6058807,1.18E-23
IL1RL2,1.967434012,1.18E-23
LDLRAD4,1.704128018,1.19E-23
RPE,1.388858047,1.20E-23
BTBD17,1.4013559,1.20E-23
PRX,2.727591106,1.21E-23
IGHV7-81,1.078141218,1.22E-23
POPDC1-AS1,2.378003688,1.23E-23
TXNDC16,2.513779753,1.23E-23
SALL2,1.636871518,1.23E-23
NLRP8,1.661612365,1.23E-23
LOC101927069,1.254311812,1.24E-23
FNDC5,1.604489,1.24E-23
SYNJ2,1.939894118,1.24E-23
OVAAL,1.397729988,1.24E-23
PIDD1,1.896554929,1.25E-23
HOXA9,1.644627347,1.25E-23
ZNF684,2.122064388,1.25E-23
VASH1,1.366537635,1.26E-23
SUN5,1.293278188,1.26E-23
CHST10,1.611867518,1.27E-23
RAB39B,1.793693688,1.27E-23
SLC7A14-AS1,1.926500706,1.27E-23
PHF8,1.315058535,1.27E-23
PSMD11,2.535060059,1.27E-23
ZIC4,1.4546693,1.28E-23
LOC105372069,-2.384186453,1.28E-23
LGALSL,2.030641665,1.29E-23
ROR1-AS1,1.340718582,1.29E-23
ADIRF-AS1,2.239737929,1.30E-23
MASTL,2.141443971,1.30E-23
LINC02743,1.489612712,1.31E-23
LSM7,2.135279865,1.31E-23
HIGD1A,1.639673812,1.32E-23
EMILIN1,2.018342571,1.33E-23
H2AC10P,1.822131547,1.33E-23
LINC01874,2.190140641,1.34E-23
ZNF446,2.082004524,1.35E-23
HCG9,2.293566565,1.35E-23
ZNF75D,1.466143376,1.35E-23
CSNK1G2-AS1,2.088655894,1.36E-23
KLF9,2.194474882,1.36E-23
SH3KBP1,1.286629776,1.39E-23
STRN4,1.974481506,1.39E-23
TSPYL2,1.565389759,1.39E-23
SNHG9,5.627046835,1.40E-23
SBF2,2.864138124,1.40E-23
COQ10B,1.672074618,1.41E-23
RPH3A,1.400813918,1.41E-23
TNFRSF10D,1.931949806,1.41E-23
LOC105373418,1.342952771,1.43E-23
TSPAN10,1.495361918,1.43E-23
LZTS1-AS1,1.307482665,1.43E-23
PLEKHO2,1.4501836,1.43E-23
AOAH,1.444069418,1.44E-23
MAK,1.438171171,1.45E-23
AMDHD1,1.741471541,1.48E-23
ADCK5,2.647954665,1.48E-23
CNIH2,3.175288029,1.49E-23
INTS10,1.951727941,1.51E-23
STK3,2.178847241,1.52E-23
MST1L,1.7905075,1.52E-23
LINC00485,1.261041565,1.53E-23
DEPDC7,1.611500824,1.54E-23
PNMA8B,1.631035535,1.55E-23
ITPR3-AS1,1.538990706,1.55E-23
SNTB1-AS2,1.918234588,1.56E-23
WDFY3,1.707069829,1.56E-23
C1QBP,4.456204018,1.57E-23
MPDZ,1.478972618,1.58E-23
TCF12-DT,1.534860853,1.58E-23
CNTLN,1.357300229,1.62E-23
ELN,1.472733424,1.62E-23
MPHOSPH8,2.175158724,1.65E-23
NFYA,1.654673465,1.66E-23
FXYD4,1.141751918,1.68E-23
TFAP2B,2.188033312,1.68E-23
OLFM3,1.528053306,1.68E-23
MCPH1-AS1,2.759042059,1.70E-23
GFRA1,1.2960852,1.70E-23
NINJ2-AS1,1.908510006,1.70E-23
PDCD10,2.620902076,1.71E-23
HPCAL1,1.742196165,1.72E-23
SYNGR3,1.204762129,1.72E-23
NR2C1,1.874209018,1.73E-23
BMP10,2.420221947,1.74E-23
C3orf85,1.476900212,1.74E-23
SH2D5,2.177127047,1.77E-23
ARHGAP5,1.788463424,1.78E-23
SLC38A2-AS1,1.846529129,1.78E-23
PGM5P2,1.434256182,1.79E-23
MTREX,2.676853924,1.79E-23
ZNF341,1.339654906,1.79E-23
RPL10L,1.736508135,1.81E-23
EIF4B,1.386733765,1.81E-23
CABP2,1.8704734,1.81E-23
NBPF3,1.798686018,1.81E-23
TTC5,1.845949476,1.82E-23
RALGPS1,1.275367929,1.83E-23
ADPRHL1,2.449488829,1.83E-23
CYP2J2,1.656439965,1.84E-23
NUBPL,1.303907088,1.85E-23
AGBL2,1.527228265,1.88E-23
DNM1P35,1.400360629,1.89E-23
EIF2S3,2.183683571,1.91E-23
NKX2-3,1.464927888,1.91E-23
LINC01532,1.173601994,1.92E-23
THAP11,2.392857194,1.92E-23
CALB1,1.525227329,1.92E-23
LOC101927377,1.311886312,1.92E-23
GTF2IP20,1.824855247,1.92E-23
SMIM3,2.746983012,1.92E-23
PCDHAC2,1.5465941,1.93E-23
H4C7,3.082130671,1.93E-23
UNC45A,1.600840853,1.94E-23
MED4,3.073911059,1.94E-23
DEFT1P,1.703469894,1.95E-23
ALG14-AS1,1.412819635,1.95E-23
ADK,2.391147776,1.96E-23
EPB41L1,1.290992106,1.97E-23
WBP2NL,1.4723353,1.98E-23
GINM1,1.773776935,1.99E-23
TM2D1,1.797451029,1.99E-23
ARFGEF1-DT,1.600590712,1.99E-23
SHROOM4,2.568169559,1.99E-23
GGCX,1.682502371,2.00E-23
PRR14L,1.547580782,2.01E-23
SLC2A4,3.734085476,2.01E-23
ERICH1,1.316599206,2.02E-23
MKI67,1.396778629,2.02E-23
HTATSF1P2,1.960487059,2.02E-23
SMIM22,2.095957259,2.03E-23
OVOL1-AS1,1.690736853,2.03E-23
LOC100505555,2.137421671,2.04E-23
ELOVL6,2.258735565,2.05E-23
GUCY1B2,2.025628753,2.05E-23
CYP11B1,1.512262282,2.07E-23
B3GALNT2,1.559223618,2.07E-23
LINC01426,1.108321971,2.07E-23
PKDCC,1.968183694,2.08E-23
UQCRFS1,3.1419723,2.09E-23
UHRF1,1.561503453,2.09E-23
GSX1,1.516407059,2.10E-23
KNOP1,1.4253384,2.11E-23
NUDT13,1.867673418,2.11E-23
DMRT1,1.673715182,2.12E-23
H1-4,1.359381459,2.14E-23
AGA,2.127978088,2.14E-23
GNAT2,6.135725559,2.17E-23
PRCP,2.406768606,2.18E-23
CYP46A1,2.071068647,2.18E-23
ERP27,2.034441847,2.18E-23
MRPL45,1.8966374,2.19E-23
CD99P1,1.817849835,2.20E-23
ORC5,2.086043247,2.20E-23
REST,1.822944059,2.20E-23
DAOA-AS1,1.517682029,2.22E-23
SLC47A2,1.364835629,2.24E-23
USF3,1.292282929,2.25E-23
CCDC136,1.533512176,2.26E-23
LAMA1,3.234795259,2.26E-23
GRTP1-AS1,1.334342547,2.28E-23
THOC7,1.292680424,2.31E-23
BDH2,2.091577912,2.31E-23
CCDC27,1.374201318,2.33E-23
HAPLN2,1.753103106,2.34E-23
KIAA0087,1.6006894,2.35E-23
RFFL,1.973338188,2.35E-23
RNF169,1.494319694,2.35E-23
KDM4A,1.751026647,2.35E-23
FGFR4,1.622322229,2.36E-23
MAPK1IP1L,1.532729653,2.36E-23
SNRPF,1.419313412,2.40E-23
LINC02502,1.241147106,2.41E-23
MELK,2.335315924,2.42E-23
ITGBL1,1.565824676,2.42E-23
ZFP41,2.135135206,2.44E-23
LOC100289473,1.609689459,2.45E-23
ATP7A,1.892631482,2.45E-23
TGM5,1.604902871,2.45E-23
MIS18A,1.897942576,2.49E-23
CACNA1S,1.268581094,2.50E-23
TMEM187,2.026417659,2.53E-23
PIK3CB,1.579642676,2.53E-23
CCNA2,1.601597841,2.54E-23
LOC730098,2.532275812,2.56E-23
LYG2,1.824040571,2.57E-23
GMPR,2.212695424,2.58E-23
GAP43,1.627312518,2.60E-23
ARHGEF2,1.269390612,2.61E-23
SGCE,1.454818812,2.63E-23
IFIT2,1.965910741,2.64E-23
RAB26,1.651035865,2.64E-23
TRIM17,1.332068271,2.65E-23
ARL9,1.310442724,2.68E-23
SIGLEC16,1.703741218,2.70E-23
WTIP,1.472626212,2.70E-23
MZT1,5.993456271,2.75E-23
ARID1A,1.521546382,2.75E-23
IFNL1,1.987114606,2.79E-23
LPP-AS2,1.455016582,2.81E-23
GAGE1,1.437652688,2.84E-23
LIX1,2.2965322,2.85E-23
ACER1,2.597494588,2.86E-23
NANOG,1.435628965,2.88E-23
B3GNT7,1.373729365,2.88E-23
TRIM55,2.196049329,2.89E-23
DERL2,1.212500565,2.91E-23
MS4A6E,3.501491471,2.91E-23
TNMD,1.747675247,2.93E-23
LINC00358,1.454282488,2.94E-23
KLK6,1.182406041,2.96E-23
ENTPD1,1.867286253,2.99E-23
SYT17,1.670538847,3.02E-23
DOCK9-DT,1.596020741,3.02E-23
ZDBF2,1.767215206,3.03E-23
TCAF1,1.239728453,3.05E-23
CTC-338M12.4,1.821752224,3.05E-23
SAP30,1.586663076,3.05E-23
MEA1,2.850568782,3.13E-23
SRMS,2.787384088,3.14E-23
RASSF8-AS1,3.021671753,3.14E-23
ZNF467,1.374255071,3.15E-23
OXGR1,2.0538502,3.16E-23
ZNF354B,1.802268712,3.19E-23
PEG10,2.005065976,3.20E-23
PLEKHH1,1.820969065,3.20E-23
IMPDH2,2.421093876,3.20E-23
SLC6A20,1.872220965,3.22E-23
LOC105371215,1.708258229,3.24E-23
LOC105378011,1.6249388,3.26E-23
EPS8L1,3.197222041,3.26E-23
LINC-PINT,1.274791429,3.27E-23
LOC105372969,1.4353407,3.28E-23
FAM13A,1.733651341,3.29E-23
SLC31A2,2.657444947,3.32E-23
IRX4,1.444550288,3.38E-23
TENT2,2.659390182,3.43E-23
ZNF184,1.458202918,3.46E-23
TFCP2,1.792207835,3.46E-23
UBXN10,1.8230772,3.46E-23
WWC2,1.183052188,3.51E-23
GCLC,1.473392847,3.54E-23
SALL3,1.389440471,3.55E-23
TMEM221,1.174515194,3.56E-23
LCIIAR,1.356482194,3.57E-23
STX6,1.864349382,3.58E-23
EXO1,1.525239435,3.58E-23
DEFB104A,1.483560718,3.59E-23
TM6SF2,2.097135024,3.59E-23
CCDC107,1.4992847,3.62E-23
MAOA,3.945177088,3.63E-23
GPNMB,1.846514935,3.64E-23
FAM81A,1.1413307,3.65E-23
CNPY1,1.362569206,3.68E-23
LURAP1L,1.647719524,3.72E-23
CABS1,1.869876871,3.75E-23
GARIN5B,1.214461682,3.75E-23
AKAP17A,1.775240459,3.83E-23
CKS1B,3.551561412,3.83E-23
XYLT1,1.598195841,3.84E-23
ORM1,1.624184218,3.86E-23
ALDH1L2,1.222870388,3.90E-23
ARX,1.683267812,3.94E-23
DTNA,1.772900294,3.94E-23
SERTAD4-AS1,1.225479241,3.99E-23
ASB9,1.145961482,4.00E-23
IGF1R,2.158503918,4.00E-23
ABCA11P,1.130092753,4.00E-23
SGCG,1.584285706,4.00E-23
RABGGTA,1.558259053,4.03E-23
OR7E14P,1.202050094,4.04E-23
GPR68,2.536123682,4.07E-23
SYNPR,1.416718765,4.08E-23
B3GNTL1,1.481243041,4.11E-23
EFS,1.323366176,4.11E-23
RIMS4,3.038323347,4.11E-23
FAM133B,1.637341612,4.13E-23
LARP1,1.3401138,4.18E-23
HEG1,1.797848853,4.20E-23
EMP3,1.462790976,4.21E-23
CD302,2.531904359,4.22E-23
PMS2P4,2.621528447,4.23E-23
RICTOR,1.525652518,4.25E-23
TMTC3,1.329573024,4.28E-23
LOC100129935,2.591243129,4.29E-23
ERAL1,2.603947271,4.30E-23
DHRS1,1.538038988,4.33E-23
SLC66A3,2.123650912,4.33E-23
ZPLD1,1.376040635,4.39E-23
CLTB,1.542483329,4.40E-23
SIRT3,1.373645241,4.40E-23
CIZ1,1.725887135,4.41E-23
LOC645485,1.523959241,4.51E-23
MOGAT3,2.243112071,4.53E-23
SH3BP4,2.381016871,4.53E-23
ADGRA3,1.841376424,4.57E-23
NDUFB6,1.575098718,4.57E-23
ZNF765,2.353005682,4.64E-23
HOXB6,1.428076006,4.64E-23
LINC00880,1.520329153,4.64E-23
IRF7,1.534706306,4.65E-23
MROCKI,2.062734376,4.66E-23
GJD4,2.204742618,4.68E-23
TMCC2,2.079996506,4.72E-23
PHF20,2.393722335,4.72E-23
UNKL,1.356263659,4.72E-23
KRTAP4-11,1.626534894,4.74E-23
CCDC7,1.422032424,4.78E-23
NRAD1,1.438594641,4.80E-23
ZNF546,1.671600182,4.82E-23
GRASLND,1.584944835,4.84E-23
MAP4K2,2.2615662,4.85E-23
LINC02123,1.769522312,4.86E-23
BEX4,1.200095876,4.87E-23
GCFC2,3.043999506,5.00E-23
NF2,2.411595012,5.06E-23
UVRAG,3.598133265,5.06E-23
ZNF573,1.606653065,5.09E-23
BICD2,1.315187876,5.11E-23
NKX1-2,1.495578688,5.12E-23
ZNF530,1.570125459,5.14E-23
C6orf141,1.260298553,5.16E-23
IARS2,1.708039135,5.16E-23
FOXD3,1.796813365,5.16E-23
MINDY3,1.206045641,5.20E-23
TTLL7-IT1,1.563304188,5.25E-23
MIER3,1.631396094,5.32E-23
LOC101929248,1.209045912,5.32E-23
TUSC1,1.599149465,5.33E-23
FAM83C-AS1,1.567070394,5.33E-23
URI1,1.723783035,5.34E-23
HGD,1.410118341,5.34E-23
SMIM21,1.965069612,5.35E-23
NBPF4,1.608203682,5.40E-23
PTBP3,2.258690794,5.41E-23
LINC00899,1.398206871,5.45E-23
LOC100996549,1.598060441,5.46E-23
SVOPL,1.454209488,5.48E-23
LINC02466,1.503373806,5.54E-23
FZD8,2.003514024,5.55E-23
FGF7P6,1.440344347,5.57E-23
TNNI1,1.956620882,5.58E-23
MARK2,2.115490524,5.60E-23
TERT,1.400184065,5.65E-23
EFNB1,2.325826135,5.68E-23
ARHGDIB,1.466849194,5.68E-23
PSTPIP1,2.215329394,5.69E-23
AP3S2,1.371394324,5.69E-23
ODAD3,1.337638353,5.75E-23
ENDOG,1.532944571,5.78E-23
FOXP1-IT1,2.399239741,5.78E-23
CFAP69,1.838690541,5.78E-23
LTF,4.448921165,5.80E-23
LOC101927066,1.485591571,5.80E-23
BANF2,1.511970159,5.83E-23
CXCL3,2.063186724,5.90E-23
ERG,2.758167965,5.95E-23
IFIH1,1.334387076,5.99E-23
SOHLH2,1.330275794,6.03E-23
HACE1,1.376548288,6.13E-23
HAVCR1,1.971109471,6.19E-23
LOC101929552,1.082045535,6.25E-23
SNORD116-20,1.613435682,6.31E-23
SGO1,2.689165688,6.34E-23
CENPB,1.344478088,6.38E-23
IGKV1OR1-1,3.728612112,6.38E-23
FECH,4.683674,6.39E-23
CACUL1,1.636709176,6.40E-23
HYDIN,1.318780853,6.46E-23
MAP2K5,3.346188429,6.51E-23
COX7A2P2,1.808326147,6.51E-23
SPATA19,1.212258629,6.55E-23
LINC02347,1.401242688,6.68E-23
POU2AF1,1.477480265,6.68E-23
PPP1R3F,1.812848129,6.71E-23
ADRA2B,1.451970635,6.76E-23
KLHL28,2.181796365,6.86E-23
ZNF622,5.2702522,6.86E-23
DDX42,1.617289524,6.90E-23
MKRN7P,1.405350747,6.93E-23
RTP4,1.815834318,6.95E-23
SP2-DT,2.576071641,6.95E-23
PPTC7,1.449834324,6.97E-23
DENND10,1.165563924,7.00E-23
NT5C1B,1.415988571,7.01E-23
SERPINB1,2.321871559,7.02E-23
POR,1.862035824,7.03E-23
SLC39A11,1.9060307,7.13E-23
SORT1,1.351029224,7.22E-23
TMEM53,1.518256376,7.27E-23
SLC6A12-AS1,1.206260988,7.31E-23
MAPK7,1.988557159,7.33E-23
NARF,2.2055286,7.40E-23
QRICH2,1.924674482,7.42E-23
KIAA0930,2.2720697,7.46E-23
NIPAL2,1.324019676,7.48E-23
CLRN1,1.520581229,7.49E-23
FAM200B,1.633003829,7.52E-23
DYDC1,1.297486453,7.54E-23
NEXN-AS1,1.325659118,7.57E-23
SMU1,1.358223535,7.62E-23
TAC3,1.522815059,7.65E-23
TTC4,3.230454029,7.67E-23
MARCHF11-DT,1.2963295,7.71E-23
ASCL2,1.603202994,7.72E-23
MCL1,1.639554359,7.72E-23
DIO3,1.999586212,7.72E-23
EXD3,2.6797231,7.80E-23
NXF3,2.010768929,7.83E-23
GPRIN1,1.401574394,7.88E-23
C1orf167,1.249131818,7.92E-23
CATSPERE,1.4949469,7.93E-23
GCAWKR,1.820954835,7.96E-23
FSTL1,1.944476235,7.98E-23
CYP24A1,2.163640465,8.22E-23
TEKT5,1.405362794,8.37E-23
ESPL1,1.770792547,8.37E-23
TEX30,1.525481888,8.54E-23
AURKB,1.738061929,8.59E-23
LINC00892,1.542117306,8.65E-23
OXT,2.699288247,8.68E-23
HSFX4,1.311489582,8.68E-23
FAM199X,1.426120129,8.68E-23
ANKRD50,2.845921706,8.70E-23
CCDC150,1.916590471,8.77E-23
INTS6-AS1,1.291918782,8.90E-23
TTC39B,1.777172424,8.91E-23
NT5C1A,1.7577553,8.93E-23
ARNT2,1.304715376,8.99E-23
SMIM14-DT,3.411702447,9.08E-23
GGA2,3.671915129,9.08E-23
SMIM10L2A,3.483842047,9.10E-23
B3GALNT1,1.676572124,9.15E-23
C3orf18,1.416572418,9.17E-23
PCDH10-DT,2.333275641,9.25E-23
CEP104,1.447119453,9.32E-23
NUDT11,2.447124188,9.37E-23
BID,1.375676359,9.39E-23
C10orf53,1.061176776,9.40E-23
ALDH8A1,1.801757247,9.46E-23
EFCAB7,1.649831576,9.53E-23
CDHR3,1.3566875,9.56E-23
TRAV8-6,2.211008241,9.60E-23
NBR2,1.618776806,9.70E-23
ZNF396,1.630076106,9.75E-23
ZSCAN4,1.804155565,9.80E-23
CHL1-AS1,1.428483724,9.80E-23
UBXN2A,2.356039682,9.82E-23
HSD17B6,1.127118988,9.87E-23
TMEM238,1.355642194,9.91E-23
ZNF154,1.777813853,9.96E-23
GNAT3,3.721088371,9.99E-23
STAM2,2.1928269,1.00E-22
TMEM223,1.386144635,1.00E-22
ZNF91,1.869957724,1.01E-22
CASK,2.113359741,1.01E-22
PDZD8,1.565632171,1.01E-22
POSTN,1.352555429,1.02E-22
ACTB,1.510433676,1.02E-22
MATR3,1.398479406,1.02E-22
ALDH3A1,1.7314607,1.02E-22
FRMD7,1.633339824,1.03E-22
RECQL4,1.204021047,1.04E-22
CRYAB,1.709595053,1.05E-22
BACH1,1.316408394,1.05E-22
SCRT1,1.912550141,1.06E-22
MAGOH-DT,1.494044724,1.06E-22
POLR2D,2.464002341,1.06E-22
MBLAC2,1.386128524,1.06E-22
PHACTR3,1.343717841,1.07E-22
GFOD2,2.355197212,1.07E-22
S100A16,1.963106606,1.07E-22
HOMER3,1.392622841,1.08E-22
IRX1,2.133267235,1.09E-22
ITFG1,1.556460924,1.10E-22
RAPGEF1,1.702228406,1.10E-22
FAM53B-AS1,1.273471924,1.10E-22
DTX2,1.562078918,1.10E-22
SMIM17,1.493569088,1.11E-22
YLPM1,1.233984876,1.11E-22
LAS1L,1.503155471,1.11E-22
DOCK5,1.322433882,1.11E-22
CNGA4,1.345492924,1.12E-22
MUC3A,1.717869053,1.12E-22
CTAG2,1.562441918,1.13E-22
FCHSD2,1.203930235,1.16E-22
CA5B,1.278966847,1.16E-22
RUFY2,-2.111619571,1.16E-22
NEUROG1,4.082501047,1.17E-22
C1orf43,1.6266155,1.18E-22
GJB3,1.418291994,1.18E-22
LOC100996385,1.089560476,1.18E-22
BAALC-AS2,1.528934082,1.20E-22
TBC1D19,1.317402094,1.20E-22
CCDC190,1.535431771,1.20E-22
ANGPTL6,1.944366482,1.21E-22
ALAS1,2.5107848,1.21E-22
CYB561D1,1.830971741,1.21E-22
ARB2A,1.591070165,1.21E-22
SMTNL2,1.801294471,1.22E-22
ATF1,1.834436482,1.22E-22
LOC100134040,1.014027029,1.23E-22
RGS14,1.139180606,1.24E-22
CCDC124,1.358770082,1.25E-22
GRM7,1.477911147,1.25E-22
SRPRB,2.252293412,1.26E-22
SLC25A27,1.573794782,1.27E-22
NBEAP1,1.221032188,1.31E-22
PFDN5,1.417495312,1.31E-22
ZFP82,1.370903135,1.32E-22
LRRC58,1.751587653,1.32E-22
LOC729218,2.178439276,1.32E-22
ARL15,1.270640529,1.33E-22
GPR162,1.812655806,1.33E-22
INPP5F,1.244012418,1.34E-22
SHANK3,2.2386756,1.34E-22
SDC4,1.108950359,1.34E-22
MAP9,1.823230118,1.34E-22
KLHDC7B,1.5786464,1.35E-22
MT1F,1.641458688,1.35E-22
NPAS2,1.430315976,1.36E-22
BMPR1A,1.272544847,1.36E-22
HAGH,1.897868318,1.36E-22
USP6,1.547291776,1.37E-22
POPDC3,1.1261022,1.37E-22
SF3A1,3.770924335,1.38E-22
FAM53A,1.414551471,1.38E-22
CCDC93,2.6428239,1.39E-22
RIPOR3,1.399202429,1.40E-22
SLC9A1,1.327717335,1.40E-22
MTUS1,3.7455511,1.40E-22
KLF17,1.354561871,1.41E-22
MMP20,1.488296082,1.42E-22
FAM171B,2.147595771,1.42E-22
LINC02603,1.322470724,1.43E-22
MFAP1,2.1037173,1.44E-22
CASP5,1.211678365,1.48E-22
NR5A2,1.485976047,1.48E-22
TRPM7,1.408462412,1.48E-22
PAK5,2.506988065,1.49E-22
ZNF25,1.609577476,1.49E-22
PIWIL2,2.046685641,1.49E-22
LOC101060553,1.909559712,1.50E-22
SUSD1,1.577224647,1.50E-22
RAB17-DT,1.988987806,1.51E-22
RBAK,1.534519829,1.51E-22
SMIM7,1.430603312,1.52E-22
MGLL,1.5295254,1.52E-22
BCL9L,1.748474041,1.52E-22
MIR133A1HG,1.384055653,1.53E-22
SAMD15,1.709986141,1.53E-22
COMMD5,4.4580834,1.54E-22
SLCO2A1,1.785931835,1.54E-22
C11orf54,1.499778312,1.54E-22
BACE2,1.461011882,1.55E-22
CACNA1G-AS1,1.218346382,1.55E-22
FGF14-AS2,2.336962618,1.57E-22
NINL,1.5584258,1.57E-22
FAM120AOS,2.046031924,1.57E-22
RELCH,1.782949229,1.58E-22
DCHS2,2.028175029,1.58E-22
KIFC3,1.093673394,1.58E-22
